district,senate_candidate1,senate_candidate2,senate_total_votes,house_democrat,house_republican,house_total_votes,presidential_democrat,presidential_republican,presidential_total_votes,Native People,Unemployment Rate,Mean household income,Families income below poverty,Graduate or professional degree,Hispanic,Male,Female
AL 7,920478,1392076,2316445,123233,67416,193940,849624,1441170,2323282,688852.0,6.2,68392.0,17.1,44204.0,715132.0,338340.0,376792.0
AK 0,146068,16806,354587,128553,67866,263610,153778,189951,359530,678835.0,4.8,114201.0,7.2,60116.0,733406.0,385855.0,347551.0
AZ 1,28,1637661,3355307,179141,182336,361477,1672143,1661686,3387326,700868.0,3.6,146662.0,6.2,123560.0,804256.0,393913.0,410343.0
AR 2,399390,793871,1193261,86887,147975,246446,423932,760647,1219069,742344.0,3.1,89344.0,10.2,67783.0,774027.0,375240.0,398787.0
CA 50,6019422,5093942,11113364,168816,99819,268635,11110250,6006429,17500881,607938.0,4.3,163873.0,5.2,149338.0,781251.0,391721.0,389530.0
CO 6,1731114,1429492,3235790,170140,105084,280755,1804352,1364607,3279980,601291.0,4.2,128029.0,7.8,86219.0,730351.0,365004.0,365347.0
CT 5,787685,545717,1386840,123818,123342,253672,1080831,714717,1823857,591990.0,4.9,120160.0,9.2,86673.0,722450.0,357201.0,365249.0
DE 0,291804,186054,490935,178416,138201,321649,296268,200603,504346,916761.0,3.5,109486.0,7.4,113137.0,1031890.0,498994.0,532896.0
FL 26,4099505,4089472,8190005,58868,143240,202108,5297045,5668731,11067456,358233.0,3.4,101429.0,10.7,65444.0,809482.0,403057.0,406425.0
GA 6,2194848,2288446,4483294,125612,206886,332498,2473633,2461854,4999960,639147.0,2.7,162199.0,3.7,124698.0,797492.0,394471.0,403021.0
HI 1,276316,112035,388351,143546,51217,202378,366130,196864,579784,563364.0,3.2,130244.0,5.9,79047.0,723269.0,360404.0,362865.0
ID 2,25329,285864,859827,98736,172450,271186,287021,554119,868014,892389.0,3.5,96903.0,7.0,68978.0,955765.0,479169.0,476596.0
IL 6,3278930,2319870,5968901,150496,126351,276859,3471915,2446891,6033743,611031.0,4.2,125719.0,4.3,91903.0,725829.0,360759.0,365070.0
IN 5,1158000,1023553,2282565,93434,146575,240009,1242416,1729519,3033118,733792.0,3.3,111098.0,7.0,85296.0,781999.0,386779.0,395220.0
IA 3,864997,754859,1700130,154117,156262,315039,759061,897672,1700130,751460.0,3.2,104078.0,7.7,69131.0,821239.0,409355.0,411884.0
KS 3,727962,571530,1367755,165527,128839,301294,570323,771406,1372303,689071.0,2.6,126506.0,4.7,101145.0,749221.0,369448.0,379773.0
KY 6,1233315,816257,2135057,83005,154762,246818,772474,1326646,2136768,707044.0,3.6,90041.0,10.2,81580.0,758888.0,376072.0,382816.0
LA 2,17362,16518,2071543,158120,46927,205047,856034,1255776,2148062,692503.0,6.4,76972.0,17.6,63400.0,742904.0,352955.0,389949.0
ME 2,417645,347223,828305,165136,146142,333326,435072,360737,828305,672905.0,3.6,81572.0,8.5,52649.0,695382.0,342573.0,352809.0
MD 6,697017,1491614,2299889,140295,115771,256398,1985023,976414,3037030,643336.0,2.8,123332.0,6.7,107111.0,799719.0,396725.0,402994.0
MA 9,2357809,1177765,3658005,197823,136347,342455,2382202,1167202,3658005,711003.0,4.1,131862.0,5.3,107916.0,787631.0,385559.0,402072.0
MI 8,2734568,2642233,5479720,178322,143850,335829,2804040,2649852,5539302,748122.0,6.1,81709.0,12.0,47509.0,766628.0,372459.0,394169.0
MN 2,190154,57174,3214256,165583,148576,325472,1717077,1484065,3277171,667446.0,2.8,126198.0,2.9,69174.0,733289.0,364409.0,368880.0
MS 2,578691,709511,1311354,108285,71884,180169,539398,756764,1313759,690365.0,7.0,62527.0,20.6,38821.0,701580.0,341391.0,360189.0
MO 2,1254927,1112935,2442289,135895,173277,315666,1253014,1718736,3025962,703359.0,2.6,134476.0,3.8,112421.0,764420.0,373029.0,391391.0
MT 1,272463,333174,605637,115265,123102,247960,244786,343602,603674,562691.0,2.6,97579.0,6.3,57746.0,576553.0,293693.0,282860.0
NE 2,583507,227191,930012,106807,112663,219470,374583,556846,956383,599758.0,2.7,116374.0,6.6,74324.0,664285.0,331351.0,332934.0
NV 3,490071,441202,972132,131086,121083,252169,703486,669890,1405376,601830.0,4.3,113667.0,7.8,67871.0,796395.0,396360.0,400035.0
NH 1,326229,450778,795914,167391,142229,309962,424921,365654,806182,652438.0,2.7,125646.0,5.2,79024.0,697780.0,342085.0,355695.0
NJ 7,2541178,1817052,4440440,150701,159392,310093,2608335,1883274,4549353,639277.0,3.1,177842.0,2.7,126777.0,778678.0,387973.0,390705.0
NM 2,24271,418483,917237,96986,95636,192673,501614,401894,923965,615066.0,5.2,74288.0,17.5,46267.0,710078.0,358069.0,352009.0
NY 22,3755489,1730439,6055151,132913,116529,273981,5230985,3244798,8661735,704471.0,3.9,94338.0,9.7,83881.0,762999.0,374289.0,388710.0
NC 9,2665598,2569965,5474952,101202,131453,232655,2684292,2758773,5524802,714019.0,5.5,87032.0,12.5,60576.0,771994.0,388128.0,383866.0
ND 0,179720,144376,326138,0,148399,238586,114902,235595,361819,752830.0,2.9,98324.0,5.3,53269.0,783926.0,400491.0,383435.0
OH 1,2355923,1012,4410898,156416,140058,296474,2679165,3154834,5922202,734083.0,4.2,115919.0,7.5,113807.0,796831.0,393182.0,403649.0
OK 5,979140,34435,1556361,96799,152699,258826,503890,1020280,1560699,765443.0,3.9,100172.0,8.5,79132.0,818949.0,401673.0,417276.0
OR 4,912814,1321047,2321249,171372,146055,339077,1340383,958448,2374321,675362.0,5.0,88866.0,8.2,68969.0,710184.0,348338.0,361846.0
PA 8,2777680,2134848,4994643,146956,139930,286886,3458229,3377674,6915283,691268.0,5.0,83046.0,11.8,55576.0,764570.0,383809.0,380761.0
RI 2,328574,164855,494262,101432,93969,201089,307486,199922,516990,489292.0,4.2,117650.0,6.5,62806.0,559492.0,274640.0,284852.0
SC 1,32845,1369137,2515104,115796,153757,272681,1091541,1385103,2514096,724330.0,2.8,123170.0,5.6,95705.0,776842.0,379544.0,397298.0
SD 0,276232,143987,420219,0,253821,327841,150471,261043,422609,879375.0,2.6,96650.0,7.6,63884.0,919318.0,468222.0,451096.0
TN 5,1840926,1040691,2959761,93648,123558,221275,1143711,1852475,3053851,701928.0,2.5,133686.0,5.1,98095.0,793338.0,389772.0,403566.0
TX 23,5962983,4888764,11144040,80947,116649,208776,5259126,5890347,11315056,663071.0,3.9,102434.0,10.7,62702.0,786734.0,405032.0,381702.0
UT 4,665215,328541,1062845,82181,155110,254059,560282,865140,1488289,804325.0,3.2,122018.0,5.2,66575.0,885524.0,447382.0,438142.0
VT 0,1979,2763,272624,176494,78397,291955,242820,112704,370968,618417.0,2.6,105931.0,4.5,87196.0,647464.0,322938.0,324526.0
VA 7,2466500,1934199,4405087,143357,130586,274590,2413568,1962430,4460524,679953.0,3.7,134245.0,4.5,80400.0,814164.0,410303.0,403861.0
WA 8,1803364,1282804,3086168,179003,155976,336038,2369612,1584651,4087631,655260.0,3.7,160607.0,4.0,86986.0,778099.0,395596.0,382503.0
WV 2,547454,210309,778918,84278,160493,244886,235984,545382,794652,882049.0,4.6,83217.0,10.0,65984.0,903697.0,454164.0,449533.0
WI 3,1472914,1184885,2657841,152977,164743,317922,1630866,1610184,3298041,720172.0,3.1,88519.0,6.1,47855.0,739552.0,374327.0,365225.0
WY 0,198100,72766,278503,47250,132206,198198,73491,193559,278503,562779.0,3.2,93304.0,7.3,45114.0,584057.0,295735.0,288322.0
